toi,tic,evol,source,disp,photo_vetting,spec_vetting,ao_vetting,ra,dec,vmag,jmag,nobs,template,nobs_goal,tot_time,rem_nobs,rem_time,r_s,teff,teff_err,t_eff,f_eh,ast_det_t,ruwe,rp,rp_err,mp,period,period_err,a_to_R,sinc,rt_5sig,drop,finish
101.01,231663901,MS,spoc,KP,-,-,-,318.737,-55.8718,13.043,11.753,0.0,FALSE,60.0,32.75,60.0,32.75,0.89,5600.0,0.0,5824.0,,0.05,,13.15,0.14,317.83,1.430401,3.2E-05,6.1,1193.0,11.42,FALSE,FALSE
102.01,149603524,MS,spoc,KP,-,-,-,87.14,-63.9884,10.213,9.272,0.0,FALSE,60.0,9.2,60.0,9.2,1.21,6280.0,0.0,6391.0,0.24,0.0566,0.94,15.4,0.03,317.83,4.411943,5E-06,10.16,586.0,3.18,FALSE,FALSE
103.01,336732616,MS,spoc,KP,-,-,-,312.4574,-24.4288,12.433,10.98,0.0,FALSE,60.0,28.85,60.0,28.85,1.28,6351.0,0.0,6371.0,,0.0504,1.04,14.58,0.2,317.83,3.547854,0.000149,8.29,1212.0,10.12,FALSE,FALSE
104.01,231670397,SG,spoc,KP,-,-,-,319.9496,-58.1489,10.468,9.352,0.0,FALSE,60.0,11.11,60.0,11.11,2.22,6036.0,0.0,6124.0,,0.0704,0.99,12.65,0.22,317.83,4.087445,0.000239,5.09,1672.0,3.84,FALSE,FALSE
105.01,144065872,MS,spoc,KP,-,-,-,337.4572,-48.0031,10.092,8.936,0.0,FALSE,60.0,8.44,60.0,8.44,1.24,5630.0,0.0,5758.0,,0.0535,0.79,12.51,0.06,317.83,2.184659,2.3E-05,5.77,985.0,2.91,FALSE,FALSE
106.01,38846515,MS,spoc,KP,-,-,-,68.9597,-64.027,10.798,9.928000000000000,0.0,FALSE,60.0,12.71,60.0,12.71,1.77,6900.0,0.0,6733.0,,0.0588,1.17,9.06,0.03,60.55,2.84938,6E-06,5.4,1311.0,4.42,FALSE,FALSE
107.01,92352620,SG,spoc,KP,-,-,-,313.7831,-34.1356,10.051,9.159000000000000,0.0,FALSE,60.0,8.2,60.0,8.2,1.71,6153.0,0.0,6072.0,0.22,0.06,1.13,18.78,0.1,317.83,3.950054,8.8E-05,6.43,1098.0,2.83,FALSE,FALSE
108.01,289793076,MS,spoc,KP,-,-,-,316.9615,-26.0967,13.911,12.439,0.0,FALSE,60.0,32.75,60.0,32.75,0.81,5523.0,0.0,5445.0,,0.05,1.03,14.0,0.33,317.83,3.043839,0.000202,10.73,400.0,11.42,FALSE,FALSE
109.01,29344935,MS,spoc,KP,-,-,-,313.2155,-25.6873,14.052,12.518000000000000,0.0,FALSE,60.0,32.75,60.0,32.75,0.98,5346.0,0.0,5361.0,,0.05,0.98,11.66,0.53,317.83,2.766737,0.000254,8.26,-1.0,11.42,FALSE,FALSE
110.01,281459670,MS,spoc,KP,-,-,-,5.6187,-59.9426,12.283,11.129000000000000,0.0,FALSE,60.0,25.48,60.0,25.48,1.16,5943.0,0.0,5750.0,-0.1,0.0504,0.93,13.67,0.13,317.83,3.174305,4.4E-05,7.92,662.0,8.99,FALSE,FALSE
111.01,355703913,MS,spoc,KP,-,-,-,0.7745,-62.4693,13.857000000000000,12.513,0.0,FALSE,60.0,32.75,60.0,32.75,0.94,5380.0,0.0,5435.0,0.245,0.05,1.05,16.68,14.13,317.83,2.106098,6.9E-05,7.23,0.0,11.42,FALSE,FALSE
112.01,388104525,MS,spoc,KP,-,-,-,55.9334,-65.1939,12.314,10.924000000000000,0.0,FALSE,60.0,26.14,60.0,26.14,1.14,5650.0,0.0,5650.0,,0.0508,0.98,14.84,0.08,317.83,2.499814,8E-06,6.8,996.0,9.21,FALSE,FALSE
113.01,97409519,MS,spoc,KP,-,-,-,332.7143,-30.7497,12.724,11.65,0.0,FALSE,60.0,32.75,60.0,32.75,1.06,6050.0,0.0,6147.0,,0.0501,1.16,14.2,0.15,317.83,3.3728770000000000,0.000147,9.41,615.0,11.42,FALSE,FALSE
114.01,25155310,MS,spoc,KP,-,-,-,63.3739,-69.2268,10.994000000000000,9.962,0.0,FALSE,60.0,13.68,60.0,13.68,1.24,5800.0,0.0,5675.0,0.207,0.0547,0.86,10.84,0.08,82.1,3.2887760000000000,7E-06,7.53,808.0,4.79,FALSE,FALSE
115.01,281541555,MS,spoc,KP,-,-,-,6.7024,-56.3161,13.783,12.366,0.0,FALSE,60.0,32.75,60.0,32.75,0.88,5377.0,185.0,5483.0,,0.05,0.99,11.52,11.54,317.83,4.742745000000000,0.000262,13.32,246.0,11.42,FALSE,FALSE
116.01,238176110,MS,spoc,KP,-,-,-,357.8453,-70.1529,11.98,10.275,0.0,FALSE,60.0,20.12,60.0,20.12,0.91,4920.0,0.0,4935.0,0.32,0.0502,1.01,11.29,0.11,87.97,2.798594,4.9E-05,8.56,288.0,7.21,FALSE,FALSE
117.01,322307342,SG,qlp,KP,-,-,-,15.0059,-58.9048,12.312000000000000,11.25,0.0,FALSE,60.0,26.1,60.0,26.1,2.0,5704.0,124.0,5704.0,-0.25,0.0502,1.0,17.42,1.02,317.83,3.5855,0.00038,4.96,519.0,9.2,FALSE,FALSE
118.01,266980320,MS,spoc,P,-,-,-,349.5568,-56.9039,9.809,8.557,0.0,FALSE,60.0,6.96,60.0,6.96,1.05,5586.0,187.0,5527.0,,0.0522,1.01,4.93,0.63,21.55,6.036061,0.000637,13.16,242.0,2.4,FALSE,FALSE
119.01,278683844,MS,spoc,CPC,-,-,-,99.238,-58.0152,10.07,8.539,0.0,FALSE,60.0,8.31,60.0,8.31,0.82,5332.0,184.0,5130.0,,0.0517,0.89,2.47,0.31,6.24,5.541143,0.000132,15.29,-1.0,2.87,FALSE,FALSE
119.02,278683844,MS,spoc,CPC,-,-,-,99.238,-58.0152,10.07,8.539,0.0,FALSE,60.0,8.31,60.0,8.31,0.82,5332.0,184.0,5130.0,,0.0517,0.89,1.89,0.97,4.86,10.691632,8.3E-05,23.69,58.0,3.82,FALSE,FALSE
120.01,394137592,SG,spoc,P,-,-,-,4.4464,-66.359,7.79,6.442,0.0,FALSE,60.0,5.05,60.0,5.05,2.34,5479.0,57.0,5479.0,-0.02,0.9997,1.01,12.22,1.48,317.83,11.535076,0.001035,9.06,-1.0,1.72,FALSE,FALSE
121.01,207081058,MS,spoc,SB1,-,-,-,331.8672,-41.8155,10.385,9.455,0.0,FALSE,60.0,10.44,60.0,10.44,1.23,6053.0,193.0,6073.0,,0.0519,1.04,14.78,2.18,317.83,14.775056,0.000529,21.53,119.0,3.61,FALSE,FALSE
122.01,231702397,MS,spoc,VPC+,-,-,-,332.94700000000000,-58.9451,15.526,11.531000000000000,0.0,FALSE,60.0,32.75,60.0,32.75,0.33,3318.0,64.0,3356.0,,0.05,1.16,2.39,1.25,6.05,5.077677,0.000878,25.78,6.0,35.42,FALSE,FALSE
123.01,290131778,MS,spoc,P,-,-,-,319.6994,-26.6161,8.324,7.232,0.0,FALSE,60.0,5.05,60.0,5.05,2.62,6188.0,194.0,6356.0,,0.1178,1.01,7.72,7.72,46.14,3.308754,0.000101,3.85,1078.0,1.72,FALSE,FALSE
124.01,29831208,SG,spoc,SB1,-,-,-,66.5826,-67.8065,11.848000000000000,10.331,0.0,FALSE,60.0,19.14,60.0,19.14,4.09,5080.0,181.0,5343.0,,0.8429,2.64,7.1,9.35,40.03,1.84286,4.6E-05,2.05,590.0,6.87,FALSE,FALSE
125.01,52368076,MS,spoc,VP,-,-,-,23.5947,-66.6758,11.023,9.466000000000000,0.0,FALSE,60.0,13.83,60.0,13.83,0.85,5154.0,182.0,5280.0,,0.0504,1.0,2.86,1.1,7.15,4.653811,0.00028900000000000000,13.38,188.0,4.84,FALSE,FALSE
125.02,52368076,MS,spoc,VP,-,-,-,23.5947,-66.6758,11.023,9.466000000000000,0.0,FALSE,60.0,13.83,60.0,13.83,0.85,5154.0,182.0,5280.0,,0.0504,1.0,2.86,1.37,7.15,9.150607,0.00073,21.0,76.0,4.84,FALSE,FALSE
125.03,52368076,MS,spoc,PPC,-,-,-,23.5947,-66.6758,11.023,9.466000000000000,0.0,FALSE,60.0,13.83,60.0,13.83,0.85,5154.0,182.0,5280.0,,0.0504,1.0,2.9,2.7,7.24,19.981866,0.004595,35.34,26.0,6.42,FALSE,FALSE
126.01,70440470,MS,spoc,KP,-,-,-,339.4893,-35.154,13.442,12.179,0.0,FALSE,60.0,32.75,60.0,32.75,1.07,5751.0,189.0,5957.0,,0.0501,1.03,15.04,15.05,317.83,3.035381,0.000203,8.49,718.0,11.42,FALSE,FALSE
127.01,234523599,MS,spoc,P,-,-,-,15.5511,-61.756,16.437,12.605,0.0,FALSE,60.0,32.75,60.0,32.75,0.45,3424.0,0.0,3402.0,,0.05,1.1,23.75,0.34,317.83,3.795609,6.9E-05,17.31,54.0,11.42,FALSE,FALSE
