toi,tic,cps_name,evol,source,disp,photo_vetting,spec_vetting,ao_vetting,ra,dec,tmag,tmag_err,bmag,vmag,b_v,jmag,hmag,kmag,gmag,bpmag,bp_g,delta_g,delta_g_flag,j,j_prime,nobs,last_observed,template,nobs_goal,tot_time,rem_nobs,rem_time,n_comments,last_comment,rs,rs_err,r_s,m_s,teff,teff_err,t_eff,teff_jump,logg,logg_err,logg_jump,feh,f_eh,ast_det_c,c_sector,ast_det_t,t_sector,color,vsini,prot,sval,sigma_act,sigma_rot,sigma_gran,sigma_rv,sigma_tot,limit,logrhk,ruwe,rp,rp_err,mp,k,kerr,ksig,epoch,epoch_err,period,period_err,dur,dur_err,b_est,circ_dur,circ_dur_err,max_circ_dur,a_to_R,depth,depth_err,teq,sinc,SNR,dist,prv,ra_J2000,dec_J2000,drop,finish,nobs_5sig,rt_5sig,tt_5sig,nobs_10sig,rt_10sig,tt_10sig,alerted,updated,tks_comments,toi_comments,comment_list,activity
101.01,231663901,-,MS,spoc,KP,-,-,-,318.737,-55.8718,12.352,0.034,13.642000000000000,13.043,0.599,11.753,11.465,11.401,12.852,13.2,0.37,-0.099,FALSE,,,0.0,-1.0,FALSE,60.0,32.75,60.0,32.75,0.0,-1.0,0.86,0.0,0.89,1.05,5600.0,0.0,5824.0,-1.0,4.489,0.0,,,,0.05,1.0,0.05,1.0,,,,,0.0,0.0,1.23,2.47,2.76,TRUE,,,13.15,0.14,317.83,174.52,0.36,484.78,1326.0089,0.0003,1.430401,3.2E-05,1.64,0.03,0.41,1.55,0.4,1.79,6.1,20452.53,242.95,1499.0,1193.0,0.0,375.31,FALSE,21 14 56.9,-55 52 18,FALSE,FALSE,20.0,11.42,11.42,30.0,16.75,16.75,2018-09-05 18:49:20+0000,2018-09-05 18:49:20+0000,-,WASP-46 b,-,
102.01,149603524,-,MS,spoc,KP,-,-,-,87.14,-63.9884,9.716,0.018000000000000000,10.734000000000000,10.213,0.521,9.272,9.008,8.944000000000000,10.072000000000000,10.355,0.29600000000000000,0.20200000000000000,FALSE,,,0.0,-1.0,FALSE,60.0,9.2,60.0,9.2,0.0,-1.0,1.28,0.0,1.21,1.28,6280.0,0.0,6391.0,-1.0,4.3210000000000000,0.0,,,0.24,0.0566,12.0,0.0566,12.0,,,,,0.0,0.0,1.84,1.39,2.31,TRUE,,0.94,15.4,0.03,317.83,105.07,0.3,350.23,1326.0786,0.0001,4.411943,5E-06,3.78,0.01,-6.86,2.87,0.74,3.32,10.16,13979.93,30.58,1370.0,586.0,474.0,175.63,FALSE,05 48 33.6,-63 59 18,FALSE,FALSE,20.0,3.18,3.18,30.0,4.68,4.68,2019-05-07 17:42:37+0000,2019-05-07 17:42:37+0000,-,WASP 62b,-,
103.01,336732616,-,MS,spoc,KP,-,-,-,312.4574,-24.4288,11.464,0.018000000000000000,12.45,12.433,0.017,10.98,10.719000000000000,10.694,11.891000000000000,12.165,0.293,0.19700000000000000,FALSE,,,0.0,-1.0,FALSE,60.0,28.85,60.0,28.85,0.0,-1.0,1.4,0.0,1.28,1.27,6351.0,0.0,6371.0,-1.0,4.229,0.0,,,,0.0504,1.0,0.0504,1.0,,,,,0.0,0.0,2.01,2.0,2.84,TRUE,,1.04,14.58,0.2,317.83,113.58,0.37,306.97,1327.2526,0.0006,3.547854,0.000149,3.49,0.05,-1.29,2.83,0.73,3.27,8.29,10424.37,123.36,1504.0,1212.0,0.0,411.21,FALSE,20 49 49.8,-24 25 43,FALSE,FALSE,20.0,10.12,10.12,30.0,14.8,14.8,2018-09-05 18:49:20+0000,2018-09-05 18:49:20+0000,-,HATS-3,-,
104.01,231670397,-,SG,spoc,KP,-,-,-,319.9496,-58.1489,9.848,0.018000000000000000,10.984000000000000,10.468,0.516,9.352,9.073,9.028000000000000,10.261,10.572000000000000,0.325,1.632,FALSE,,,0.0,-1.0,FALSE,60.0,11.11,60.0,11.11,0.0,-1.0,2.07,0.0,2.22,1.16,6036.0,0.0,6124.0,-1.0,3.934,0.0,,,,0.0704,1.0,0.0704,1.0,,,,,0.0,0.0,2.48,1.39,2.84,TRUE,,0.99,12.65,0.22,317.83,115.09,0.37,311.05,1327.6735,0.0008,4.087445,0.000239,5.59,0.07,0.41,5.3,1.36,6.13,5.09,3586.2,48.8,1630.0,1672.0,0.0,316.68,FALSE,21 19 47.9,-58 08 56,FALSE,FALSE,20.0,3.84,3.84,30.0,5.66,5.66,2018-09-05 18:49:20+0000,2018-09-05 18:49:20+0000,-,WASP-73,-,
105.01,144065872,-,MS,spoc,KP,-,-,-,337.4572,-48.0031,9.48,0.02,10.78,10.092,0.688,8.936,8.628,8.564,9.937000000000000,10.291000000000000,0.3670000000000000,0.593,FALSE,,,0.0,-1.0,FALSE,60.0,8.44,60.0,8.44,0.0,-1.0,1.13,0.0,1.24,1.03,5630.0,0.0,5758.0,-1.0,4.378,0.0,,,,0.0535,1.0,0.0535,1.0,,,,,0.0,0.0,1.34,1.39,1.93,TRUE,,0.79,12.51,0.06,317.83,153.5,0.25,614.0,1326.506,0.0002,2.184659,2.3E-05,2.87,0.01,0.11,2.5,0.64,2.89,5.77,11836.69,46.94,1429.0,985.0,0.0,137.54,FALSE,22 29 49.7,-48 00 11,FALSE,FALSE,20.0,2.91,2.91,30.0,4.29,4.29,2018-09-05 18:49:20+0000,2018-09-05 18:49:20+0000,-,WASP-95,-,
106.01,38846515,-,MS,spoc,KP,-,-,-,68.9597,-64.027,10.307,0.019,11.066000000000000,10.798,0.268,9.928000000000000,9.715,9.669,10.615,10.84,0.24,0.494,FALSE,,,0.0,-1.0,FALSE,60.0,12.71,60.0,12.71,0.0,-1.0,1.0,0.0,1.77,1.44,6900.0,0.0,6733.0,-1.0,4.438,0.0,,,,0.0588,13.0,0.0588,13.0,,,,,0.0,0.0,1.85,1.49,2.38,TRUE,,1.17,9.06,0.03,60.55,21.42,0.31,69.1,1326.7451,0.0002,2.84938,6E-06,3.78,0.01,0.36,3.49,0.9,4.03,5.4,7452.43,25.31,1534.0,1311.0,278.0,364.41,FALSE,04 35 50.3,-64 01 37,FALSE,FALSE,20.0,4.42,4.42,30.0,6.49,6.49,2019-05-07 17:42:35+0000,2019-05-07 17:42:35+0000,-,WASP-100b,-,
107.01,92352620,-,SG,spoc,KP,-,-,-,313.7831,-34.1356,9.639,0.019,10.742,10.051,0.691,9.159000000000000,8.916,8.874,10.029,10.331,0.315,0.872,FALSE,,,0.0,-1.0,FALSE,60.0,8.2,60.0,8.2,0.0,-1.0,1.62,0.0,1.71,1.14,6153.0,0.0,6072.0,-1.0,4.181,0.0,,,0.22,0.06,1.0,0.06,1.0,,,,,0.0,0.0,1.88,1.39,2.34,TRUE,,1.13,18.78,0.1,317.83,117.76,0.3,392.53,1328.2993,0.0003,3.950054,8.8E-05,4.56,0.02,0.24,4.06,1.04,4.7,6.43,12999.9,75.69,1468.0,1098.0,0.0,211.21,FALSE,20 55 07.9,-34 08 08,FALSE,FALSE,20.0,2.83,2.83,30.0,4.17,4.17,2018-09-05 18:49:20+0000,2018-09-05 18:49:20+0000,-,WASP-94A (planet host),-,
108.01,289793076,-,MS,spoc,KP,-,-,-,316.9615,-26.0967,13.096000000000000,0.017,14.682,13.911,0.7710000000000000,12.439,12.052,11.983000000000000,13.68,14.102,0.447,0.015,FALSE,,,0.0,-1.0,FALSE,60.0,32.75,60.0,32.75,0.0,-1.0,0.89,0.0,0.81,0.95,5523.0,0.0,5445.0,-1.0,4.522,0.0,,,,0.05,1.0,0.05,1.0,,,,,0.0,0.0,1.01,3.68,3.82,TRUE,,1.03,14.0,0.33,317.83,145.04,0.49,296.0,1328.0849,0.0009,3.043839,0.000202,2.66,0.07,-31.36,1.88,0.48,2.17,10.73,24143.22,570.24,1141.0,400.0,0.0,421.86,FALSE,21 07 50.8,-26 05 48,FALSE,FALSE,20.0,11.42,11.42,30.0,16.75,16.75,2018-09-05 18:49:20+0000,2018-09-05 18:49:20+0000,-,HATS-13,-,
109.01,29344935,-,MS,spoc,KP,-,-,-,313.2155,-25.6873,13.18,0.019,14.836000000000000,14.052,0.784,12.518000000000000,12.129000000000000,12.037,13.771000000000000,14.216,0.47,0.53,FALSE,,,0.0,-1.0,FALSE,60.0,32.75,60.0,32.75,0.0,-1.0,0.93,0.0,0.98,0.93,5346.0,0.0,5361.0,-1.0,4.488,0.0,,,,0.05,1.0,0.05,1.0,,,,,0.0,0.0,1.01,3.93,4.06,TRUE,,0.98,11.66,0.53,317.83,151.86,0.52,292.04,1326.1275,0.0013,2.766737,0.000254,2.57,0.11,0.0,2.21,0.57,2.56,8.26,15691.95,490.08,-1.0,-1.0,0.0,513.01,FALSE,20 52 51.7,-25 41 14,FALSE,FALSE,20.0,11.42,11.42,30.0,16.75,16.75,2018-09-05 18:34:19+0000,2018-09-05 18:34:19+0000,-,HATS-14,-,
110.01,281459670,-,MS,spoc,KP,-,-,-,5.6187,-59.9426,11.632,0.018000000000000000,12.795,12.283,0.512,11.129000000000000,10.826000000000000,10.793,12.081,12.398,0.336,0.11800000000000000,FALSE,,,0.0,-1.0,FALSE,60.0,25.48,60.0,25.48,0.0,-1.0,1.06,0.0,1.16,1.03,5943.0,0.0,5750.0,-1.0,4.425,0.0,,,-0.1,0.0504,2.0,0.0504,2.0,,,,,0.0,0.0,1.27,2.0,2.37,TRUE,,0.93,13.67,0.13,317.83,135.52,0.31,437.16,1328.0405,0.0004,3.174305,4.4E-05,2.72,0.03,0.46,2.65,0.68,3.06,7.92,15603.69,151.4,1293.0,662.0,100.0,342.14,FALSE,00 22 28.5,-59 56 33,FALSE,FALSE,20.0,8.99,8.99,30.0,13.12,13.12,2018-11-14 15:06:55+0000,2018-11-14 15:06:55+0000,-,HATS-30,-,
